BulkBGroup,RhizoBGroup,Country,Crop_Family,Crop_Managment,n.x,average.x,sd.x,n.y,average.y,sd.y
A1B,A1R,China,Gramineae,Wetland,27,7.542350053,0.404081432,27,7.547945413,0.290606579
D1B,D1R,China,Gramineae,Wetland,3,4.652125683,0.276745712,3,3.986485561,0.163033159
D2B,D2R,China,Gramineae,Wetland,3,4.23523352,0.160175583,3,4.106214236,0.094820553
D3B,D3R,China,Gramineae,Wetland,3,4.306369561,0.096671691,3,4.581913906,0.074778012
D4B,D4R,China,Gramineae,Wetland,3,4.255857889,0.125696718,3,4.344095834,0.173721418
D5B,D5R,China,Gramineae,Wetland,3,4.735215124,0.161405026,3,4.720590165,0.09939463
G1B,G1R,China,Gramineae,Dryland,4,5.927600397,0.278179628,4,5.869993125,0.083666169
G2B,G2R,China,Gramineae,Dryland,6,5.713513946,0.24090956,6,6.179616322,0.166798038
G3B,G3R,China,Gramineae,Dryland,5,5.724196881,0.153681669,5,5.796717732,0.125525258
G4B,G4R,China,Gramineae,Dryland,5,5.538874216,0.319903938,5,6.111249512,0.132769061
H1B,H1R,China,Leguminosae,Dryland,4,5.461863769,0.21332934,4,3.047276525,0.180524119
H2B,H2R,China,Leguminosae,Dryland,4,5.177113107,0.156208244,4,4.334557982,0.222454052
H3B,H3R,China,Leguminosae,Dryland,4,5.332351916,0.393661758,3,4.64560705,0.057529939
H4B,H4R,China,Leguminosae,Dryland,4,5.294244936,0.034728574,4,4.523860718,0.309796367
H5B,H5R,China,Leguminosae,Dryland,4,4.958906683,0.22294178,4,4.489440093,0.164661115
J1B,J1R,China,Gramineae,Dryland,3,4.901306174,0.183542665,3,6.859296581,0.143781358
J2B,J2R,China,Gramineae,Dryland,2,5.052254911,0.36046334,2,6.636233208,0.027875844
J3B,J3R,China,Gramineae,Dryland,3,4.796479873,0.099563027,3,6.469449617,0.059963353
J6B,J6R,China,Gramineae,Dryland,3,4.723185715,0.039149972,3,4.649422502,0.341771532
J7B,J7R,China,Gramineae,Dryland,3,5.328081271,0.053861002,3,4.335989152,0.621199394
J8B,J8R,China,Gramineae,Dryland,2,5.127359446,0.270217795,2,4.441527057,0.024906887
J9B,J9R,China,Gramineae,Dryland,3,4.32201392,0.543318472,3,5.04809819,0.091926411
J10B,J10R,China,Gramineae,Dryland,3,4.758989082,0.322648284,3,6.830140209,0.150263903
J11B,J11R,China,Gramineae,Dryland,3,4.605187112,0.130421491,3,6.746732974,0.192980475
J12B,J12R,China,Gramineae,Dryland,3,4.899155029,0.223438262,3,6.753381512,0.032336262
K1B,K1R,China,Gramineae,Dryland,5,6.848585223,0.137305342,5,6.683712841,0.125332878
K2B,K2R,China,Gramineae,Dryland,5,7.048444125,0.03317332,5,6.832676409,0.051857972
K3B,K3R,China,Gramineae,Dryland,5,6.968320943,0.069239197,5,6.676363825,0.056344994
K4B,K4R,China,Gramineae,Dryland,5,7.088447582,0.040421974,5,6.795089308,0.049119677
K5B,K5R,China,Gramineae,Dryland,5,7.074642046,0.03373695,5,6.775544185,0.038685525
K6B,K6R,China,Gramineae,Dryland,5,7.081614128,0.025761663,5,6.772925547,0.072308328
K7B,K7R,China,Gramineae,Dryland,5,6.886225626,0.056793034,5,6.418878411,0.097597977
K8B,K8R,China,Gramineae,Dryland,5,7.116957715,0.020294941,5,7.0225393,0.039204656
K9B,K9R,China,Gramineae,Dryland,5,7.074380112,0.034926154,5,6.895898696,0.112521428
P1B,P1R,Spain,Gramineae,Dryland,3,6.558775751,0.131689859,3,6.556376129,0.042289211
P2B,P2R,Spain,Gramineae,Dryland,2,6.693930116,0.187381737,2,6.524047988,0.191570765
P3B,P3R,Spain,Gramineae,Dryland,3,6.64232545,0.051256976,3,6.609436952,0.136913193
P4B,P4R,Spain,Gramineae,Dryland,3,6.477859607,0.101035651,3,6.541010108,0.162818164
T1B,T5R,Denmark,Gramineae,Dryland,10,6.327457706,0.196909192,4,4.954559489,0.134438775
T1B,T9R,Denmark,Gramineae,Dryland,10,6.327457706,0.196909192,3,4.645613058,0.289660683
T1B,T10R,Denmark,Gramineae,Dryland,10,6.327457706,0.196909192,4,3.514715961,1.047887412
T1B,T12R,Denmark,Gramineae,Dryland,10,6.327457706,0.196909192,4,5.3510663,0.516283941
Y2B,Y6R,USA,NA,Dryland,2,6.638116575,0.013152557,6,6.308007334,0.200649165
Y2B,Y8R,USA,NA,Dryland,2,6.638116575,0.013152557,5,6.268325522,0.282738024
Z1B,Z1R,China,Leguminosae,Dryland,6,6.570607559,0.131993875,6,6.647411021,0.216314673
Z2B,Z2R,China,Leguminosae,Dryland,5,6.58690813,0.061290152,5,6.514856975,0.13266165
Z3B,Z3R,China,Leguminosae,Dryland,6,6.63236919,0.180579764,6,6.623556205,0.088286783
Z4B,Z4R,China,Leguminosae,Dryland,6,6.578165001,0.151774699,6,6.647848511,0.162730438
Z5B,Z5R,China,Leguminosae,Dryland,6,6.621332222,0.069836988,6,6.636711364,0.04962492
Z6B,Z6R,China,Leguminosae,Dryland,6,6.566500063,0.216920493,6,6.573469585,0.187412772
ZA1B,ZA1R,United Kingdom,Cruciferae,Dryland,2,6.413654031,0.139141143,2,5.873530282,0.26543702
ZA2B,ZA2R,United Kingdom,Cruciferae,Dryland,3,6.245820903,0.075985401,2,6.252447859,0.248862195
ZC1B,ZC1R,China,Gramineae,Wetland,3,5.916884141,0.116237368,4,5.822409714,0.084487432
ZC1B,ZC2R,China,Gramineae,Wetland,3,5.916884141,0.116237368,3,5.629465394,0.238790148
ZC1B,ZC3R,China,Gramineae,Wetland,3,5.916884141,0.116237368,3,5.926328262,0.068773371
ZC2B,ZC4R,China,Gramineae,Wetland,3,5.756878559,0.062138263,3,5.849462452,0.049395619
ZC2B,ZC5R,China,Gramineae,Wetland,3,5.756878559,0.062138263,3,5.912314426,0.040418047
ZC2B,ZC6R,China,Gramineae,Wetland,3,5.756878559,0.062138263,3,6.113422886,0.118995978
ZC3B,ZC7R,China,Gramineae,Wetland,3,5.688902662,0.243274606,3,6.025426692,0.120336117
ZC3B,ZC8R,China,Gramineae,Wetland,3,5.688902662,0.243274606,3,6.049660941,0.046051366
ZC3B,ZC9R,China,Gramineae,Wetland,3,5.688902662,0.243274606,3,5.993981418,0.119955055
ZC4B,ZC91R,China,Gramineae,Wetland,3,6.046605141,0.023113749,3,5.929707993,0.116234876
